control_level,age,gender,frequency1,frequency2,frequency3,frequency4,frequency5,frequency6,frequency7
4,30,0,,,,0.5,,1,
5,30,0,,0,0.5,,1,1,0.5
6,30,0,,0,,0.5,,1,
7,30,0,,,,,,1,
8,30,0,,,,,1,0.5,
9,30,0,,,,1,,,0
10,30,0,,,,1,,,
11,30,0,,,,1,,,
12,30,0,0.5,,1,1,,0,
13,30,0,,,,1,,0,
14,30,0,,,1,0.5,,,0
15,30,0,,,1,0.5,,,
16,30,0,,1,,,0.5,,
17,30,0,,1,,0.5,0.5,,
18,30,0,,1,,0.5,0.5,,0
19,30,0,,1,,0.5,,,
20,30,0,,1,,,,,
1,45,1,0,,0,0,1,0,
2,45,1,,0,0,0,1,,0
3,45,1,0,,,,1,0,0
4,45,1,,0,,0,1,0,0
5,45,1,,,,1,0,0,
6,45,1,,0,,1,0,,
7,45,1,,,,1,,,
8,45,1,,,,1,0,0,
9,45,1,,0,,0,,,
5,30,0,0.45,,,,,,
6,30,0,0,,,,,,
7,30,0,0.45,,,,,,
12,30,0,0.45,,,,,,
6,28,1,,0.55,,,,,
6,35,1,,,,,0,,
8,35,1,,,,,0.35,,
11,35,1,,,,,0.7,,
